t [s],Q [W],Tin [degC],Tout [degC]
106112,12243.9475760249,28.4369492252324,22.6064979985539
106412,12289.1637305424,28.5076909553994,22.6557082265697
106712,12286.1919643107,28.554409314941,22.7038417128883
107012,12228.3868423298,28.5734782263166,22.7504368728262
107312,12187.9315858117,28.5974466760651,22.7936697304405
107612,12260.2666913551,28.6736591077613,22.8354368737827
107912,12246.1142284148,28.7080894397934,22.8766064738816
108212,12199.1512599484,28.7256049153133,22.9164852677188
108512,12184.2136421968,28.756333386151,22.9543268898668
108812,12134.1400898947,28.7670415156691,22.9888795681002
109112,12126.1623444003,28.7949769501342,23.0206139289912
109412,12146.8912216298,28.8355800049679,23.0513460899061
109712,12117.7440563245,28.85190459662,23.0815502840845
110012,12146.7024151914,28.8965603452575,23.1124163380235
110312,12124.8834475705,28.917200631162,23.1434466085094
110612,12105.592429803,28.9384453948596,23.1738775711439
110912,12088.6821919097,28.9595416879318,23.203026358451
111212,12149.6275974413,29.0172657827068,23.2317288315443
111512,12083.9040003543,29.0148025703958,23.2605625702271
111812,12026.5465893542,29.0161734351326,23.2892464878211
112112,11983.5387993695,29.0201890757164,23.3137420283976
112412,11979.820572351,29.0392457603815,23.3345692973572
112712,12019.639590362,29.0784254584355,23.3547875582631
113012,11993.2418290912,29.0867365292388,23.3756689915763
113312,11988.2708266986,29.1062010846943,23.3975006910283
113612,11989.4670113536,29.1291998054094,23.4199298000029
113912,12034.9861800223,29.1748917220417,23.4439459220311
114212,12044.8438398754,29.2054432350325,23.4698033112823
114512,11999.1683500284,29.2096546502474,23.4957649597577
114812,11947.0202690267,29.2085080456271,23.519450774662
115112,11888.4136909784,29.200126278041,23.5389769013846
115412,11887.1520716521,29.2159112997402,23.5553626941916
115712,11925.9438404746,29.2486307109372,23.5696098345207
116012,11866.722093832,29.2349224074683,23.5841023627864
116312,11903.6338040917,29.269230333349,23.6008332837815
116612,11968.9731466572,29.3213976707557,23.621886648538
